name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Little Secrets,Manners,Passion Pit,3kb38wezoUA8ki5jPYy3t5,2009,60,238973,0.597,0.00345,0.786,0.0,0.0909,0.666,-4.248,0.0419,99.888,5,4,happy
I Can't Breathe,I Can't Breathe,Rooftop Heroes,0jvmpX7Ib6uCpG15Ua1ooL,2022-06-10,52,191666,0.641,0.00798,0.772,0.0,0.207,0.533,-4.71,0.051,96.0,1,4,happy
Never Felt A Love Like This (feat. Dotan) - Raven & Kreyn Remix,Never Felt A Love Like This (feat. Dotan) [Remixes],Galantis,6YeUmDm2HojqOQjJM2MGzJ,2020-03-27,43,175719,0.687,0.000486,0.881,0.00609,0.214,0.276,-5.325,0.0428,126.094,4,4,happy
I Just Wanna Shine,All the Feels,Fitz and The Tantrums,4GZ3YCkuH0VvTluVLwUp4g,2019-09-20,63,207925,0.705,0.04,0.918,9.3e-05,0.0803,0.546,-2.77,0.0684,92.511,6,4,happy
HandClap,Fitz and The Tantrums,Fitz and The Tantrums,7j56HrjR9cGzvekvZY3Faz,2016-06-10,65,193253,0.636,0.00609,0.836,0.000157,0.0828,0.715,-3.004,0.0427,139.956,8,4,happy
Take My Breath - Single Version,Take My Breath,The Weeknd,6M3PsepEj5gyJoIi7Xvr7u,2021-08-05,71,220196,0.747,0.0106,0.739,2.22e-05,0.101,0.523,-6.008,0.0487,120.996,8,4,happy
Clouds (feat. The Wombats),Fantasy,Whethan,1vKhN4uPpLXW91qQ1Gu0z8,2020-10-16,53,168062,0.572,0.000644,0.711,4.79e-05,0.258,0.434,-6.19,0.173,160.119,9,4,happy
Carried Away,Gossamer,Passion Pit,52a6VcF23v5HB7KfDEmBHq,2012-07-23,60,221973,0.772,0.0176,0.826,8.56e-06,0.383,0.871,-5.135,0.0344,119.995,0,4,happy
Undeniable (feat. X Ambassadors),Undeniable (feat. X Ambassadors),Kygo,71qB68guEJjbvtjlkZ8DF5,2021-10-15,72,180596,0.684,0.159,0.506,0.0,0.26,0.352,-6.743,0.0338,108.036,6,4,happy
Bite of a Time,After a While,DF3,4EqaVVBUOhyxFwMDtzfxVx,2017-12-01,27,220786,0.64,0.00585,0.705,0.13,0.117,0.557,-5.149,0.0305,129.99,11,4,happy
Music For a Sushi Restaurant,Harry's House,Harry Styles,5LYMamLv12UPbemOaTPyeV,2022-05-20,92,193813,0.72,0.258,0.715,0.0568,0.107,0.357,-4.652,0.04,107.041,11,4,happy
Malibu,Younger Now,Miley Cyrus,1UZOjK1BwmwWU14Erba9CZ,2017-09-29,80,231906,0.573,0.0767,0.781,2.64e-05,0.0813,0.343,-6.406,0.0555,139.934,8,4,happy
Come and Get Your Love - Single Version,Come and Get Your Love,Redbone,7GVUmCP00eSsqc4tzj1sDD,1973-11-01,77,205933,0.731,0.172,0.804,0.00028,0.0685,0.957,-7.621,0.0473,107.383,11,4,happy
Someone New,Hozier (Expanded Edition),Hozier,2DNXgvkyv35vTWvdgjs7qn,2014-09-19,70,222813,0.443,0.429,0.533,3.66e-06,0.332,0.596,-5.956,0.0473,183.791,7,4,happy
September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",2grjqo0Frpf2okIBiifQKs,1978-11-23,82,215093,0.697,0.168,0.832,0.00131,0.269,0.979,-7.264,0.0298,125.926,9,4,happy
Livin' la Vida Loca,Ricky Martin,Ricky Martin,0Ph6L4l8dYUuXFmb71Ajnd,1999,75,243160,0.425,0.00414,0.954,0.0,0.0555,0.933,-3.756,0.0476,178.043,1,4,happy
Breakaway,Let Go (20th Anniversary Edition),Avril Lavigne,74kqTZLnGoPtCwGecA37Xi,2022-06-03,66,223717,0.346,0.0035,0.741,2.91e-06,0.347,0.359,-5.578,0.0365,168.902,0,3,happy
Please Don't Go,31 Minutes to Takeoff,Mike Posner,6jg5SRvdGxvJ0DzNV0UqEK,2010-08-09,70,196813,0.699,0.00296,0.882,0.0544,0.13,0.657,-3.896,0.0311,120.016,4,4,happy
GUY.exe,Future Friends,Superfruit,3JTjLyrnevl9ASw3ayGO2P,2017-09-15,79,222680,0.77,0.0305,0.732,0.0,0.157,0.889,-4.601,0.0508,110.011,4,4,happy
I Belong in Your Arms,Something,Chairlift,0aqRkWPAL9BGCvvdSiXaE9,2012-01-24,63,207306,0.498,0.00482,0.795,5.37e-05,0.124,0.762,-5.992,0.0444,172.564,5,4,happy
Unstoppable,This Is Acting (Deluxe Version),Sia,1yvMUkIOTeUNtNWlWRgANS,2016-10-21,81,217746,0.468,0.112,0.779,0.000373,0.101,0.26,-4.839,0.0779,173.799,9,4,happy
Straightjacket,The Story of Us,Quinn XCII,51LIqkda3pTeECZUhMnool,2017-09-15,64,206533,0.838,0.153,0.546,0.0,0.0656,0.745,-6.811,0.295,137.027,5,4,happy
Float On,Good News For People Who Love Bad News,Modest Mouse,2lwwrWVKdf3LR9lbbhnr6R,2004-04-05,73,208466,0.649,0.013,0.888,2.23e-06,0.0888,0.553,-4.807,0.0293,100.975,6,4,happy
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,0uI7yAKUf52Cn7y3sYyjiX,2018-10-16,72,177666,0.815,0.223,0.518,0.0,0.104,0.877,-6.594,0.0897,151.891,7,4,happy
Love On Top,4,Beyoncé,1z6WtY7X4HQJvzxC4UgkSf,2011-06-24,76,267413,0.652,0.0848,0.749,0.0,0.604,0.651,-5.248,0.0886,94.103,0,4,happy
Feels Like Summer,Feels Like Summer,Samuel Jack,0ZERGmkfuDSrLaIzEGFdiH,2019-06-14,67,187094,0.751,0.0246,0.713,2.74e-05,0.157,0.474,-5.846,0.0654,102.005,5,4,happy
Bang My Line (feat. Tkay Maidza),Bang My Line (feat. Tkay Maidza),Cosmo's Midnight,5phuEZAscX7xyQgvxyLKir,2022-05-04,56,153500,0.659,0.274,0.729,0.0,0.245,0.722,-6.436,0.138,169.998,9,4,happy
Lucky,Oops!... I Did It Again,Britney Spears,2TTYIwTM2iLC1YOyHuhRMt,2000-05-16,67,206226,0.765,0.262,0.791,0.000154,0.0669,0.966,-5.707,0.0317,95.026,8,4,happy
If You Want Me to Stay,Fresh,Sly & The Family Stone,2BydLQAh7CUIFvSEqAMc4x,1973-06-30,67,180493,0.843,0.28,0.48,0.000782,0.108,0.762,-11.574,0.0492,101.993,11,4,happy
BAILÉ CON MI EX,BAILÉ CON MI EX,Becky G,0Yc0ziTsyjahYqlWXVXlTU,2022-05-10,75,161880,0.761,0.15,0.784,0.0,0.125,0.691,-4.977,0.133,114.93,4,4,happy
Hot Summer,Welcome 2 America,Prince,5MztBRRywrACJFq8tPNanu,2021-07-30,39,212946,0.83,0.0363,0.548,6.83e-05,0.184,0.98,-11.132,0.0503,127.508,0,4,happy
King of Anything,Kaleidoscope Heart,Sara Bareilles,3VA8T3rNy5V24AXxNK5u9E,2010-09-07,62,207493,0.676,0.461,0.762,0.0,0.0574,0.81,-4.172,0.0351,119.003,1,4,happy
It's Tricky,Raising Hell,Run–D.M.C.,6jBCehpNMkwFVF3dz4nLIW,1986-05-15,72,183760,0.965,0.00131,0.857,0.0,0.0726,0.951,-8.458,0.17,127.656,11,4,happy
Looking Out for You,Looking Out for You,Joy Again,3jfZ9M23l0L7RxzYMTgBTv,2016-01-15,80,179499,0.682,0.0884,0.9,0.063,0.0685,0.937,-5.028,0.0874,100.721,9,4,happy
Dreamlover,Music Box,Mariah Carey,6HcQZfMrw3KwGyzrKw1Pjy,1993-08-31,60,232960,0.701,0.18,0.705,0.0,0.141,0.71,-6.18,0.0357,100.669,5,4,happy
It Never Rains in Southern California,It Never Rains In Southern California,Albert Hammond,6tunhVGD8C05MZNjSVIsjw,1972-08-16,67,233506,0.626,0.124,0.565,0.0,0.0811,0.924,-10.027,0.0271,116.61,9,4,happy
Sundress,Sundress,A$AP Rocky,2aPTvyE09vUCRwVvj0I8WK,2018-11-20,78,158205,0.721,0.181,0.707,3.68e-06,0.143,0.743,-6.364,0.0595,125.005,6,4,happy
Suspicious Minds,From Elvis in Memphis (Live),Elvis Presley,1H5IfYyIIAlgDX8zguUzns,1969-06-17,73,261279,0.487,0.0422,0.382,4.74e-06,0.411,0.714,-10.889,0.0309,116.557,7,4,happy
Title,Title (Deluxe),Meghan Trainor,0k5hoseEJnCAbpRh38dNoI,2015-01-09,75,174733,0.779,0.343,0.754,2.6e-06,0.0965,0.883,-4.358,0.0966,89.998,5,4,happy
Hug Me,Despicable Me 3 (Original Motion Picture Soundtrack),Various Artists,6eVM9lCmIqwGTUOoeH61Lu,2017-06-23,76,140733,0.842,0.0684,0.622,0.0,0.33,0.587,-5.437,0.0967,139.927,0,4,happy
Full Time Job,Full Time Job,We Three,4gtkHMuEMhysN6ZitUSRBf,2022-04-01,50,147391,0.631,0.531,0.805,0.0,0.172,0.906,-2.646,0.0632,91.999,0,4,happy
Doses & Mimosas,Year of the Caprese,Cherub,44CZRkOxv7UItaAUmh8PgN,2014,71,323253,0.775,0.114,0.655,0.00016,0.035,0.346,-7.333,0.102,114.503,5,4,happy
strawberry cheesecake,strawberry cheesecake,dempsey hope,4bh2jy0vLIrXE1Cnq2u8gG,2021-08-11,25,140085,0.7,0.151,0.551,0.0,0.244,0.737,-6.699,0.0363,90.005,0,4,happy
This Feeling,Sick Boy,The Chainsmokers,4NBTZtAt1F13VvlSKe6KTl,2018-12-14,74,197946,0.575,0.0558,0.571,0.0,0.0912,0.449,-7.906,0.0439,105.049,1,4,happy
"Whenever, Wherever - Pepsi Super Bowl LIV Halftime Show Remix",Laundry Service: Washed and Dried (Expanded Edition),Shakira,59QI3gSnv576kHyV4Jqt36,2021-11-12,54,156633,0.781,0.049,0.861,0.0,0.209,0.711,-6.893,0.0411,111.011,1,4,happy
Turn the Radio Up (feat. Jewel),Turn the Radio Up,Train,1nNfkK3cfckAyTmNRk1b60,2022-05-06,45,199605,0.492,0.21,0.867,0.0,0.78,0.734,-2.404,0.041,179.941,2,4,happy
Sure Thing,All I Want Is You,Miguel,0JXXNGljqupsJaZsgSbMZV,2010-11-26,79,195373,0.684,0.0267,0.607,0.000307,0.191,0.498,-8.127,0.1,81.001,11,4,happy
i love u,i love u,Sally Boy,4h83bb7xRzB7Qo735CjLMH,2022-02-25,29,163428,0.636,0.0285,0.783,0.00164,0.18,0.678,-6.949,0.0368,104.993,9,4,happy
A LOT - Remix,A LOT (Remix),John K,1cxPOIEirHd43X5qeGebUY,2022-04-29,58,148868,0.829,0.19,0.583,0.00103,0.127,0.765,-8.586,0.0353,110.974,5,4,happy
Human to Fall Apart,Human to Fall Apart,Haywood,76ZRoeAgtae628jiFYDLCT,2022-04-08,28,174944,0.482,0.0429,0.633,0.0,0.201,0.378,-6.108,0.0441,159.906,0,4,happy
La Equivocada,La Equivocada,CNCO,4hM1rUoUrthsX8D4BH74MO,2022-04-07,68,198294,0.813,0.0157,0.751,0.0,0.175,0.661,-2.932,0.0905,89.97,11,4,happy
Tu Debilidad (feat. Emilia),Tu Debilidad (feat. Emilia),Mati Gómez,1XzihhvRzOHYmVImIZ9g8Q,2021-12-02,45,161159,0.764,0.391,0.689,0.0,0.062,0.779,-5.286,0.368,176.087,7,4,happy
Strangers,Strangers,Audrey Mika,16k7sLX58uNRKuueVzG6jy,2021-11-05,47,168420,0.778,0.0836,0.645,2.26e-06,0.184,0.558,-6.374,0.0643,142.07,0,4,happy
Gotta Get Up,Nilsson Schmilsson,Harry Nilsson,6fvIzrJ6boUDFF19fH4S2s,1971,59,144893,0.424,0.064,0.438,0.0,0.0764,0.924,-15.192,0.0529,175.139,7,4,happy
Twistin' the Night Away,Twistin' the Night Away,Sam Cooke,7FS541dJh3iQAEXEZoDhE6,1962-04,62,159853,0.458,0.691,0.801,0.0,0.328,0.93,-7.83,0.0565,160.547,9,4,happy
You Make My Dreams (Come True),The Essential Daryl Hall & John Oates,Daryl Hall & John Oates,2dlEdDEmuQsrcXaAL3Znzi,2005-04-25,59,190706,0.737,0.261,0.569,0.308,0.046,0.912,-6.702,0.0552,167.202,5,4,happy
Wake Me Up Before You Go-Go,Make It Big,Wham!,0ikz6tENMONtK6qGkOrU3c,1984-10-23,80,231333,0.62,0.271,0.573,0.0,0.0607,0.897,-11.893,0.0423,81.548,0,4,happy
Always Be My Baby,Daydream,Mariah Carey,2aBxt229cbLDOvtL7Xbb9x,1995-10-03,73,258133,0.65,0.457,0.531,0.0,0.249,0.487,-8.335,0.0364,78.946,4,4,happy
"Get Outta My Dreams, Get into My Car",Tear Down These Walls,Billy Ocean,0pBhA8yQ5FUKyQG13x2Qmh,1988-03-07,58,334186,0.661,0.0557,0.911,5.54e-06,0.348,0.919,-6.571,0.0417,117.147,4,4,happy
Sunny,Take The Heat Off Me,Boney M.,3pf96IFggfQuT6Gafqx2rt,1976,70,242240,0.647,0.088,0.868,0.124,0.129,0.804,-6.427,0.106,121.82,0,4,happy
Cigarette Daydreams,Melophobia,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,2013-10-08,79,208760,0.636,0.0807,0.676,0.0,0.0831,0.273,-3.442,0.0263,113.98,2,4,happy
What I Like About You,Hits Of The 80s (100 Songs),Various Artists,4VRJfWj7cNKivIggXeje8z,2009-01-16,37,174933,0.426,0.00162,0.957,0.000617,0.291,0.888,-5.552,0.0634,159.977,9,4,happy
Big Energy (feat. DJ Khaled) - Remix,Big Energy (feat. DJ Khaled) [Remix],Latto,0EJ3Kofm9hYq3hL4VZ881G,2022-03-28,74,181665,0.87,0.0421,0.775,1.8e-06,0.14,0.792,-3.703,0.0865,106.001,11,4,happy
Can You Handle My Love??,Can You Handle My Love??,WALK THE MOON,7GKMstqz3UYkFvlX93qCyz,2021-07-14,54,256320,0.689,0.0373,0.863,1.55e-05,0.0958,0.576,-5.962,0.0348,105.044,9,4,happy
Dobby 21,Dobby 21,1010 Benja SL,5vfoUjrdaLTQHGbLbcl5lx,2021-09-24,27,190641,0.641,0.33,0.471,1.19e-05,0.382,0.559,-9.99,0.0564,143.981,6,4,happy
celebrate,celebrate,Isaac Dunbar,7nlvjuAdtKroFHdgqwCBKC,2021-07-02,43,195253,0.416,0.000157,0.837,0.0,0.0881,0.376,-5.127,0.0598,165.967,0,4,happy
Horizon (feat. Leon Bridges),Diplo Presents Thomas Wesley: Snake Oil (Deluxe),Diplo,6CenzKfN5aqSMXV8yJAi43,2020-12-18,46,148033,0.639,0.0301,0.647,0.000142,0.0964,0.352,-6.537,0.0301,130.032,7,4,happy
"Glory (feat. Mez, VanJess, ICECOLDBISHOP, Ginette Claudette & Gwen Bunn)","Glory (feat. Mez, VanJess, ICECOLDBISHOP, Ginette Claudette & Gwen Bunn)",Keep Cool,5zYEMdgHeGvbdPgd3tOHcu,2021-05-27,22,229080,0.682,0.556,0.604,2.34e-05,0.0992,0.701,-8.611,0.421,99.848,7,5,happy
Love Me Now (feat. Zoe Wees),Love Me Now (feat. Zoe Wees),Kygo,1c1sdxrYLIiuJOlE7PPttb,2021-08-13,75,195880,0.662,0.163,0.489,0.0,0.172,0.506,-7.067,0.0525,102.04,5,4,happy
Momma Always Told Me (feat. Stanaj & Yung Bae) - Matoma Remix,Momma Always Told Me (feat. Stanaj & Yung Bae) [Matoma Remixes],Mike Posner,6QD2VjrjttjljqUZPf9R89,2021-03-19,37,202222,0.703,0.00415,0.801,0.000248,0.134,0.672,-4.694,0.0333,108.001,9,4,happy
Oh My God,30,Adele,3Kkjo3cT83cw09VJyrLNwX,2021-11-19,85,225148,0.534,0.091,0.725,0.0,0.0264,0.55,-3.906,0.046,88.098,1,4,happy
How Will I Know,How Will I Know,Whitney Houston,79wbJeLkXOlJh4AzaWCWfL,2021-09-24,75,213435,0.761,0.178,0.739,3.35e-06,0.23,0.656,-3.591,0.0369,118.997,6,4,happy
Glory Days,Born In The U.S.A.,Bruce Springsteen,2Y90nL1ohB4sgYELDs7uNx,1984-06-04,72,254733,0.574,0.0457,0.96,0.0,0.121,0.978,-4.906,0.032,117.486,9,4,happy
Little Bit of Love,Little Bit of Love,Tom Grennan,2sX7lJXsOYGP1Us6CqM9t1,2021-01-08,71,226268,0.689,0.0833,0.706,0.0,0.105,0.623,-4.48,0.0312,106.52,1,4,happy
PENDEJO,FINAL (Vol.1),Enrique Iglesias,5cy2dREJqJAyf3CNr509W7,2021-09-17,67,165360,0.89,0.0606,0.666,6.54e-05,0.11,0.269,-4.361,0.129,98.018,7,4,happy
Not Giving You Up,Not Giving You Up,Big Time Rush,1jzJQlaWgu7ZYqRldXXFRD,2022-02-25,59,180879,0.72,0.245,0.612,0.0,0.109,0.624,-6.324,0.0545,111.984,8,4,happy
Chin Music For The Unsuspecting Hero,Chin Music For The Unsuspecting Hero,Foster The People,6bePYd5M396sVoHFDg36Ub,2021-09-17,0,204773,0.594,0.0775,0.554,0.0,0.154,0.481,-5.947,0.0323,178.094,5,4,happy
Somebody,Brighter Days,Sigala,6iMoJ3UdrO2ZjzzcaN8Eom,2018-09-28,53,238666,0.679,0.0916,0.849,0.0,0.121,0.683,-3.841,0.0649,100.095,0,4,happy
Best Friend,Treehouse,Sofi Tukker,1zEhH5BmSpKi1mRSIfBDOq,2018-04-13,60,184880,0.699,0.0109,0.7,0.0794,0.152,0.3,-5.704,0.0392,102.023,11,4,happy
Bad Vibrations,Bad Vibrations,Jesper Jenset,6zTKuNMEU3svBn65L6u88M,2018-09-21,50,199379,0.768,0.00417,0.589,2.67e-05,0.136,0.757,-8.991,0.0403,97.979,8,4,happy
what would you do?,what would you do?,Tate McRae,3I1Smy5zhzNEc9grpjwY1s,2022-05-13,77,166948,0.8,0.296,0.627,0.0,0.0892,0.693,-5.892,0.0633,104.96,11,4,happy
You Got the Love (feat. Jules Buckley & The Heritage Orchestra) - Live,Pete Tong + Friends: Ibiza Classics,Pete Tong,3R2Ixz50biUsQzcla8DjeI,2021-12-03,43,240893,0.53,0.256,0.848,0.0,0.893,0.396,-6.243,0.0741,106.901,6,4,happy
Bring It On Home to Me,The Man Who Invented Soul,Sam Cooke,0WVTQp3SOCuMr08jh1jweV,2000-09-26,67,162533,0.523,0.778,0.402,0.0,0.432,0.675,-8.233,0.0305,70.863,0,4,happy
Quiero Decirte,Quiero Decirte,Abraham Mateo,7dT6ccDqmMHvz5C0d8iUND,2022-05-12,68,222348,0.751,0.039,0.772,0.0,0.102,0.923,-3.853,0.0383,117.941,4,4,happy
ice water,ice water,shallow pools,3AYirxvYvayyrk0u4c2ytC,2021-01-15,19,172376,0.639,0.0016,0.844,0.00247,0.238,0.697,-3.126,0.0409,110.031,9,4,happy
Excuses,Excuses,Audrey Mika,6Gl9htJmNmnugLygZo15QF,2021-01-15,49,145700,0.789,0.193,0.567,0.00023,0.18,0.725,-8.501,0.0585,144.021,10,4,happy
Downtown Baby,Downtown Baby,Caitlyn Smith,3NIMPlnySYOfVF5Vxr4Ae1,2022-03-04,66,167533,0.7,0.0176,0.616,0.0,0.463,0.466,-5.82,0.0282,110.059,2,4,happy
Bleach,Bleach,Isaac Dunbar,3j8mwslzqj90yjWWNwwff8,2022-02-18,54,219026,0.66,0.0638,0.695,0.0,0.213,0.577,-4.197,0.0318,113.047,1,4,happy
"Hold Us Together - From the Disney+ Original Motion Picture ""Safety""","Hold Us Together (From the Disney+ Original Motion Picture ""Safety"")",H.E.R.,6731YdP19CJBKlSaJNBAK0,2020-12-11,41,313193,0.393,0.0618,0.555,1.76e-06,0.418,0.328,-7.26,0.049,110.663,10,5,happy
Weekend,Weekend,Mufasa & Hypeman,6G3t9WroSJiK5S66umOfIA,2021-08-27,65,170022,0.761,0.0594,0.939,0.00158,0.0843,0.88,-3.34,0.0729,119.981,11,4,happy
Move Me,"Give Me Your Shoulders, Pt. 1",half•alive,0vrGg6n72wLwgv32jeewgi,2022-02-11,56,216533,0.637,0.0744,0.606,0.0777,0.176,0.466,-5.697,0.0533,155.005,3,1,happy
Hell N Back,Hell N Back,Bakar,3NRql0A1Ef4RCvT473iqgD,2019-08-15,77,213573,0.584,0.312,0.684,9.05e-05,0.112,0.72,-4.314,0.567,210.164,10,4,happy
Forever,Forever,Chris Brown,3NZJlJemX3mzjf56MqC5ML,2008-04-29,76,278573,0.672,0.0368,0.82,0.000188,0.184,0.438,-4.456,0.0459,120.005,11,4,happy
El Negrito,De Menor a Mayor,Gente De Zona,3OymSyNaXj5AQI6veTh9f2,2022-04-08,57,176320,0.56,0.0794,0.951,0.0115,0.0981,0.81,-3.254,0.0679,199.895,0,4,happy
Perfect,Made In The A.M. (Deluxe Edition),One Direction,3NLnwwAQbbFKcEcV8hDItk,2015-11-13,78,230333,0.647,0.0598,0.823,0.0,0.119,0.396,-5.231,0.0762,99.933,2,4,happy
Circles Around This Town,Circles Around This Town,Maren Morris,13G5xv1wUKvJYbK0wYmioN,2022-01-07,69,195760,0.591,0.015,0.814,0.0,0.117,0.815,-4.986,0.0468,149.9,4,4,happy
La Bachata,La Bachata,Manuel Turizo,5ww2BF9slyYgNOk37BlC4u,2022-05-26,80,162637,0.835,0.583,0.679,1.98e-06,0.218,0.85,-5.329,0.0364,124.98,7,4,happy
Anyone For You (Tiger Lily),Anyone For You (Tiger Lily),George Ezra,5iFQfP3AqVnHHS89LKQisL,2022-01-28,80,187682,0.662,0.293,0.807,3.55e-06,0.189,0.772,-3.285,0.0411,103.031,10,4,happy
this is what falling in love feels like,this is what falling in love feels like,JVKE,4UG2Fm0E98LhE2dlNxiAXx,2021-09-03,85,120308,0.424,0.617,0.438,0.0,0.0837,0.325,-5.53,0.0553,128.983,11,5,happy
AMAZING,AMAZING,Rex Orange County,6FtIK0IkmG33lKbc1pyAlZ,2022-02-14,69,209200,0.719,0.279,0.461,0.0,0.0875,0.548,-8.191,0.0454,123.915,8,4,happy
Hold Up,Lemonade,Beyoncé,0rzNMzZsubFcXSEh7dnem7,2016-04-23,70,221093,0.524,0.745,0.397,0.0,0.521,0.552,-11.936,0.405,80.744,0,4,happy
Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,2hKdd3qO7cWr2Jo0Bcs0MA,2001-03-27,79,259933,0.481,0.153,0.638,0.0,0.154,0.497,-5.862,0.0276,79.064,0,4,happy
El Teke Teke,El Teke Teke,Carlos Vives,13N3Nd6nQMe5yDgo9wzUuV,2022-05-12,63,177636,0.852,0.0366,0.924,0.0,0.0646,0.503,-2.498,0.0523,94.016,2,4,happy
Tainted Love,Tainted Love,Isaac Dunbar,2nx6I5R9C8nfBofUdlXoRA,2022-04-01,54,201666,0.628,0.0378,0.695,0.0,0.358,0.398,-5.328,0.0327,113.972,0,4,happy
Puffer,Puffer,Cautious Clay,2NC0JdCc2XgrNa0ipNOfML,2022-06-15,59,152998,0.454,0.0063,0.764,0.0181,0.343,0.212,-8.857,0.0388,173.081,7,4,happy
Burning Love,Elvis (Fool),Elvis Presley,7zMUCLm1TN9o9JlLISztxO,1973-07-16,72,170293,0.66,0.0993,0.748,0.00585,0.283,0.972,-11.206,0.0284,143.549,2,4,happy
Remind Me - Luca Schreiner Remix,Remind Me (Luca Schreiner Remix),Tom Grennan,072KYf7DhC2wXSqJY3kdJE,2022-04-22,41,220648,0.635,0.043,0.898,0.0,0.0849,0.514,-4.803,0.0955,125.913,11,4,happy
AM Gold - Tobtok Remix,AM Gold (Tobtok Remix),Train,7Bu6XaIeytnFdLrpMEpdug,2022-04-22,49,189079,0.669,0.00322,0.826,0.0,0.0449,0.878,-4.829,0.0538,124.995,1,4,happy
Skyline,Skyline,Khalid,1QxIFMs4M8qd5cbJJu80v4,2022-04-28,80,182895,0.733,0.0179,0.653,0.0218,0.184,0.752,-6.094,0.0391,119.996,11,5,happy
In the Clouds,In the Clouds,O.A.R.,559r5jzQgpbEMdXst1yOKG,2022-05-18,49,212047,0.544,0.00315,0.87,1.91e-05,0.0683,0.591,-4.614,0.051,89.005,5,4,happy
Pegao,Pegao,Camilo,7Dk8r4VR5NoveUvTiCKEXC,2022-05-19,81,160733,0.807,0.162,0.499,0.0,0.104,0.867,-4.733,0.0616,90.037,1,4,happy
Good People,Young and Stupid,Pillbox Patti,5laxwV7CX3DUiDIkJ8FAGv,2022-05-20,19,223253,0.709,0.937,0.373,1.88e-06,0.0995,0.207,-10.423,0.0346,85.082,2,4,happy
Young and Stupid,Young and Stupid,Pillbox Patti,07Eq4v5xtaWJ8l4X2qzSiB,2022-05-20,38,238573,0.614,0.0986,0.661,0.000214,0.0886,0.453,-6.255,0.0295,147.966,2,4,happy
Better Than Real Life,Better Than Real Life,courtship.,2M6cDSP1uMGkSQsl9KqRPw,2022-06-02,42,133205,0.739,0.0462,0.511,0.0165,0.179,0.735,-5.867,0.0447,110.047,0,4,happy
Blur,Blur,dhruv,15IfeWfzxJtcKBgx6oDHvl,2022-06-22,49,220550,0.747,0.0651,0.789,2.42e-05,0.0727,0.646,-3.789,0.039,118.035,0,4,happy
That's What I Like,24K Magic,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,2016-11-17,84,206693,0.853,0.013,0.56,0.0,0.0944,0.86,-4.961,0.0406,134.066,1,4,happy
The Git Up,The Git Up,Blanco Brown,5dW1VZPcFqB4n0P08rGDgm,2019-05-03,2,200593,0.847,0.0669,0.678,0.0,0.274,0.811,-8.635,0.109,97.984,9,4,happy
Dynamite,BE,BTS,5QDLhrAOJJdNAmCTJ8xMyW,2020-11-20,87,199053,0.746,0.0112,0.765,0.0,0.0936,0.737,-4.41,0.0993,114.044,6,4,happy
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,1ExfPZEiahqhLyajhybFeS,2010-10-05,73,189109,0.794,0.3,0.711,0.0,0.0955,0.955,-5.124,0.0699,174.915,8,4,happy
Daft Punk,"PTX, Vol. 2",Pentatonix,6ukvsBzq4d1vBsAUmz7ZVt,2013-11-05,58,248560,0.717,0.00403,0.621,0.0,0.144,0.72,-7.588,0.0605,133.014,11,4,happy
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,4a9tbd947vo9K8Vti9JwcI,2019-04-12,82,229773,0.645,0.0933,0.862,0.0,0.193,0.803,-4.761,0.0845,119.947,11,4,happy
Can't Feel My Face,Beauty Behind The Madness,The Weeknd,22VdIZQfgXJea34mQxlt81,2015-08-28,81,213520,0.705,0.113,0.769,0.0,0.105,0.583,-5.526,0.0425,107.949,9,4,happy
Do You Remember,All Or Nothing,Jay Sean,7yws3pF3FFguwT2Psi6c15,2009-01-01,2,210306,0.855,0.0242,0.668,0.0,0.102,0.803,-4.892,0.0644,125.846,11,4,happy
2012 (It Ain't The End),2012 (It Ain't The End),Jay Sean,1ERCOXHQcoLSTlgmNTlcrR,2010-01-01,57,222200,0.717,0.199,0.792,0.0,0.423,0.513,-2.703,0.0393,126.975,0,4,happy
Permission to Dance,Butter / Permission to Dance,BTS,0LThjFY2iTtNdd4wviwVV2,2021-07-09,20,187585,0.702,0.00544,0.741,0.0,0.337,0.646,-5.33,0.0427,124.925,9,4,happy
Sunday Best,Where the Light Is,Surfaces,3ytr3WoSfkck1jDmrGhMik,2019-01-06,0,158571,0.879,0.192,0.536,0.0,0.0716,0.654,-6.843,0.0602,112.02,5,4,happy
Celebration (feat. Akon),Revolver,Madonna,2SWqtM6mPpTonFbzxyHfTZ,2009-12-25,34,234986,0.728,0.056,0.703,1.03e-06,0.293,0.855,-5.319,0.0366,128.835,11,4,happy
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2Rk4JlNc2TPmZe2af99d45,2019-08-23,77,193000,0.61,0.033,0.83,0.0,0.118,0.728,-4.105,0.0571,182.162,0,4,happy
